Rk, Player, Tm, Opp, MP, FG, FGA, FG%, 3P, 3PA, 3P%, FT, FTA, FT%, ORB, DRB, TRB, AST, STL, BLK, TOV, PF, PTS, +/-, GmSc
44,P.J. Tucker,HOU,CHI,30:46,4,8,.500,2,5,.400,1,1,1.000,1,5,6,1,1,0,0,2,11,+10,10.1
45,Fred VanVleet,TOR,CLE,33:00,5,12,.417,1,4,.250,4,4,1.000,0,3,3,4,1,0,2,3,15,+14,10.1
46,Al Horford,BOS,MIN,32:16,7,11,.636,1,4,.250,0,0,,0,3,3,2,0,1,2,3,15,+3,9.9
47,Marcus Morris,BOS,MIN,27:03,5,10,.500,4,7,.571,2,2,1.000,0,3,3,0,2,0,2,5,16,-3,9.9
48,Marcus Smart,BOS,MIN,27:31,2,4,.500,2,4,.500,0,0,,1,1,2,3,4,0,0,3,6,+1,9.9
49,Rodney Hood,CLE,TOR,41:32,4,10,.400,1,2,.500,4,5,.800,0,3,3,2,2,0,1,2,13,-21,9.7
50,Pascal Siakam,TOR,CLE,33:22,6,11,.545,0,2,.000,3,4,.750,0,5,5,5,0,0,3,4,15,+14,9.7
51,Troy Williams,SAC,IND,16:02,4,6,.667,3,3,1.000,1,4,.250,1,2,3,0,1,0,0,2,12,+4,9.7
52,De'Aaron Fox,SAC,IND,36:38,4,16,.250,0,2,.000,7,7,1.000,0,4,4,6,4,1,6,0,15,-3,9.5
53,Doug McDermott,IND,SAC,22:02,5,8,.625,2,4,.500,2,3,.667,0,1,1,1,0,0,0,4,14,-12,9.4
54,Otto Porter,WAS,BRK,37:54,3,7,.429,0,3,.000,1,2,.500,1,10,11,2,3,0,0,4,7,+13,9.4
55,Terry Rozier,BOS,MIN,20:34,3,7,.429,1,4,.250,0,0,,1,4,5,5,0,1,0,0,7,+8,9.4
56,Sterling Brown,MIL,NYK,21:32,3,4,.750,1,1,1.000,1,1,1.000,0,3,3,1,1,0,0,2,8,-5,8.2
57,Damian Jones,GSW,DET,20:04,3,7,.429,0,0,,3,4,.750,3,2,5,2,0,0,0,2,9,+6,8.2
58,Brook Lopez,MIL,NYK,28:04,5,11,.455,3,7,.429,0,2,.000,2,7,9,1,1,2,3,5,13,+8,8.1
59,Thon Maker,MIL,NYK,12:53,2,3,.667,2,3,.667,3,4,.750,0,2,2,0,1,0,0,2,9,+3,8.1
60,Wendell Carter,CHI,HOU,32:58,3,6,.500,0,0,,2,4,.500,2,6,8,1,0,1,0,2,8,-16,8.0
61,Allonzo Trier,NYK,MIL,17:14,3,8,.375,0,1,.000,3,3,1.000,0,6,6,5,0,0,2,0,9,+1,7.9
